timestamp,gpu_util_pct,memory_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026-07-16T12:59:17Z,100, 51, 82841, 143771, 695.52, 65
2026-07-16T12:59:19Z,100, 56, 82841, 143771, 689.35, 65
2026-07-16T12:59:21Z,100, 54, 82841, 143771, 663.34, 67
2026-07-16T12:59:23Z,0, 0, 116633, 143771, 360.20, 55
2026-07-16T12:59:25Z,100, 55, 116633, 143771, 679.88, 65
2026-07-16T12:59:27Z,100, 51, 116633, 143771, 689.17, 66
2026-07-16T12:59:29Z,100, 54, 116633, 143771, 692.71, 66
2026-07-16T12:59:31Z,100, 55, 116633, 143771, 671.38, 66
2026-07-16T12:59:33Z,100, 57, 116633, 143771, 695.95, 64
2026-07-16T12:59:35Z,100, 53, 116633, 143771, 686.11, 65
2026-07-16T12:59:37Z,100, 45, 116633, 143771, 693.62, 65
2026-07-16T12:59:39Z,100, 54, 116633, 143771, 683.07, 67
2026-07-16T12:59:41Z,100, 53, 116633, 143771, 674.58, 68
2026-07-16T12:59:43Z,100, 55, 116633, 143771, 694.31, 68
2026-07-16T12:59:45Z,100, 54, 116633, 143771, 683.25, 67
2026-07-16T12:59:47Z,100, 54, 116633, 143771, 687.10, 69
2026-07-16T12:59:49Z,100, 56, 116633, 143771, 701.18, 68
2026-07-16T12:59:51Z,100, 51, 116633, 143771, 689.89, 69
2026-07-16T12:59:53Z,100, 56, 116633, 143771, 689.30, 68
2026-07-16T12:59:55Z,100, 54, 116633, 143771, 658.23, 67
2026-07-16T12:59:57Z,100, 54, 116633, 143771, 695.28, 65
2026-07-16T12:59:59Z,100, 54, 116633, 143771, 692.91, 66
2026-07-16T13:00:01Z,100, 53, 116633, 143771, 695.10, 66
2026-07-16T13:00:03Z,100, 52, 116633, 143771, 692.48, 67
2026-07-16T13:00:05Z,100, 52, 116633, 143771, 679.57, 68
2026-07-16T13:00:07Z,100, 56, 116633, 143771, 684.76, 66
2026-07-16T13:00:09Z,100, 56, 116633, 143771, 687.38, 66
2026-07-16T13:00:11Z,100, 44, 116633, 143771, 689.53, 67
2026-07-16T13:00:13Z,100, 55, 116633, 143771, 690.59, 68
2026-07-16T13:00:16Z,100, 51, 116633, 143771, 690.63, 67
2026-07-16T13:00:18Z,100, 53, 116633, 143771, 689.05, 67
2026-07-16T13:00:20Z,100, 55, 116633, 143771, 685.94, 68
2026-07-16T13:00:22Z,100, 55, 116633, 143771, 697.20, 66
2026-07-16T13:00:24Z,100, 56, 116633, 143771, 690.72, 66
2026-07-16T13:00:26Z,100, 50, 116633, 143771, 695.14, 67
2026-07-16T13:00:28Z,100, 52, 116633, 143771, 685.08, 68
2026-07-16T13:00:30Z,100, 54, 116633, 143771, 660.96, 67
2026-07-16T13:00:32Z,100, 54, 116633, 143771, 695.28, 68
2026-07-16T13:00:34Z,100, 54, 116633, 143771, 681.65, 68
2026-07-16T13:00:36Z,100, 52, 116633, 143771, 689.87, 68
2026-07-16T13:00:38Z,100, 56, 116633, 143771, 691.93, 68
2026-07-16T13:00:40Z,100, 53, 116633, 143771, 691.46, 67
2026-07-16T13:00:42Z,100, 55, 116633, 143771, 687.00, 67
2026-07-16T13:00:44Z,100, 55, 116633, 143771, 683.70, 66
2026-07-16T13:00:46Z,100, 56, 116633, 143771, 685.62, 68
2026-07-16T13:00:48Z,100, 54, 116633, 143771, 696.48, 68
2026-07-16T13:00:50Z,100, 47, 116633, 143771, 704.46, 67
2026-07-16T13:00:52Z,100, 52, 116633, 143771, 692.33, 68
2026-07-16T13:00:54Z,100, 52, 116633, 143771, 685.21, 69
2026-07-16T13:00:56Z,100, 56, 116633, 143771, 688.57, 65
2026-07-16T13:00:58Z,100, 55, 116633, 143771, 710.47, 66
2026-07-16T13:01:00Z,100, 52, 116633, 143771, 693.53, 67
2026-07-16T13:01:02Z,100, 56, 116633, 143771, 689.50, 67
2026-07-16T13:01:04Z,100, 52, 116633, 143771, 687.06, 67
2026-07-16T13:01:06Z,100, 54, 116633, 143771, 685.22, 67
2026-07-16T13:01:08Z,100, 54, 116633, 143771, 693.40, 68
2026-07-16T13:01:10Z,100, 55, 116633, 143771, 679.97, 67
2026-07-16T13:01:12Z,100, 54, 116633, 143771, 683.48, 67
2026-07-16T13:01:14Z,100, 50, 116633, 143771, 701.35, 66
2026-07-16T13:01:16Z,100, 56, 116633, 143771, 686.22, 66
2026-07-16T13:01:18Z,90, 48, 116633, 143771, 669.91, 67
2026-07-16T13:01:20Z,100, 56, 116633, 143771, 699.65, 68
2026-07-16T13:01:22Z,100, 54, 116633, 143771, 688.69, 68
2026-07-16T13:01:24Z,100, 52, 116633, 143771, 693.52, 69
2026-07-16T13:01:26Z,100, 56, 116633, 143771, 690.55, 67
2026-07-16T13:01:28Z,100, 52, 116633, 143771, 688.47, 69
2026-07-16T13:01:30Z,100, 55, 116633, 143771, 685.00, 66
2026-07-16T13:01:32Z,100, 54, 116633, 143771, 693.51, 66
2026-07-16T13:01:34Z,100, 52, 116633, 143771, 681.36, 68
2026-07-16T13:01:36Z,100, 53, 116633, 143771, 679.02, 68
2026-07-16T13:01:38Z,100, 49, 116633, 143771, 691.77, 67
2026-07-16T13:01:40Z,100, 55, 116633, 143771, 679.11, 69
2026-07-16T13:01:43Z,100, 52, 116633, 143771, 681.78, 68
2026-07-16T13:01:45Z,100, 55, 116633, 143771, 692.92, 66
2026-07-16T13:01:47Z,100, 54, 116633, 143771, 697.90, 67
2026-07-16T13:01:49Z,100, 53, 116633, 143771, 680.27, 66
2026-07-16T13:01:51Z,100, 53, 116633, 143771, 687.22, 69
2026-07-16T13:01:53Z,100, 53, 116633, 143771, 688.20, 67
2026-07-16T13:01:55Z,100, 55, 116633, 143771, 689.50, 66
2026-07-16T13:01:57Z,100, 55, 116633, 143771, 668.48, 64
2026-07-16T13:01:59Z,100, 55, 116633, 143771, 689.89, 68
2026-07-16T13:02:01Z,100, 53, 116633, 143771, 682.15, 67
2026-07-16T13:02:03Z,100, 50, 116633, 143771, 697.22, 68
2026-07-16T13:02:05Z,100, 55, 116633, 143771, 692.33, 66
2026-07-16T13:02:07Z,100, 51, 116633, 143771, 688.12, 68
2026-07-16T13:02:09Z,100, 54, 116633, 143771, 688.57, 67
2026-07-16T13:02:11Z,100, 55, 116633, 143771, 699.67, 68
2026-07-16T13:02:13Z,100, 53, 116633, 143771, 681.36, 67
2026-07-16T13:02:15Z,100, 54, 116633, 143771, 685.05, 67
2026-07-16T13:02:17Z,100, 51, 116633, 143771, 690.29, 66
2026-07-16T13:02:19Z,100, 55, 116633, 143771, 692.99, 67
2026-07-16T13:02:21Z,100, 56, 116633, 143771, 664.22, 62
2026-07-16T13:02:23Z,100, 54, 116633, 143771, 689.03, 67
2026-07-16T13:02:25Z,100, 55, 116633, 143771, 693.96, 69
2026-07-16T13:02:27Z,100, 48, 116633, 143771, 696.40, 67
2026-07-16T13:02:29Z,100, 56, 116633, 143771, 692.22, 67
2026-07-16T13:02:31Z,100, 51, 116633, 143771, 677.88, 68
2026-07-16T13:02:33Z,100, 56, 116633, 143771, 698.08, 67
2026-07-16T13:02:35Z,100, 56, 116633, 143771, 698.43, 66
2026-07-16T13:02:37Z,100, 47, 116633, 143771, 695.66, 69
2026-07-16T13:02:39Z,100, 56, 116633, 143771, 696.12, 67
2026-07-16T13:02:41Z,100, 52, 116633, 143771, 685.75, 68
2026-07-16T13:02:43Z,100, 54, 116633, 143771, 693.42, 66
2026-07-16T13:02:45Z,100, 54, 116633, 143771, 696.09, 66
2026-07-16T13:02:47Z,100, 55, 116633, 143771, 693.81, 68
2026-07-16T13:02:49Z,100, 53, 116633, 143771, 686.98, 67
2026-07-16T13:02:51Z,100, 47, 116633, 143771, 695.12, 67
2026-07-16T13:02:53Z,100, 54, 116633, 143771, 685.90, 68
2026-07-16T13:02:55Z,100, 53, 116633, 143771, 679.47, 67
2026-07-16T13:02:57Z,100, 55, 116633, 143771, 689.09, 66
2026-07-16T13:02:59Z,100, 56, 116633, 143771, 692.02, 67
2026-07-16T13:03:01Z,100, 53, 116633, 143771, 696.77, 69
2026-07-16T13:03:03Z,100, 55, 116633, 143771, 691.54, 68
2026-07-16T13:03:06Z,100, 51, 116633, 143771, 688.30, 67
2026-07-16T13:03:08Z,100, 54, 116633, 143771, 710.03, 67
2026-07-16T13:03:10Z,100, 54, 116633, 143771, 688.97, 67
2026-07-16T13:03:12Z,100, 57, 116633, 143771, 687.23, 68
2026-07-16T13:03:14Z,100, 54, 116633, 143771, 682.38, 68
2026-07-16T13:03:16Z,100, 53, 116633, 143771, 695.29, 68
2026-07-16T13:03:18Z,100, 55, 116633, 143771, 698.09, 66
2026-07-16T13:03:20Z,100, 54, 116633, 143771, 682.87, 68
2026-07-16T13:03:22Z,100, 55, 116633, 143771, 694.13, 68
2026-07-16T13:03:24Z,100, 54, 116633, 143771, 682.08, 67
2026-07-16T13:03:26Z,100, 44, 116633, 143771, 688.56, 66
2026-07-16T13:03:28Z,100, 55, 116633, 143771, 685.17, 66
2026-07-16T13:03:30Z,100, 52, 116633, 143771, 694.73, 68
2026-07-16T13:03:32Z,100, 54, 116633, 143771, 682.36, 68
2026-07-16T13:03:34Z,100, 54, 116633, 143771, 674.13, 67
2026-07-16T13:03:36Z,100, 56, 116633, 143771, 693.70, 66
2026-07-16T13:03:38Z,100, 54, 116633, 143771, 698.45, 67
2026-07-16T13:03:40Z,100, 51, 116633, 143771, 694.27, 69
2026-07-16T13:03:42Z,100, 54, 116633, 143771, 688.90, 70
2026-07-16T13:03:44Z,100, 52, 116633, 143771, 683.45, 68
2026-07-16T13:03:46Z,100, 54, 116633, 143771, 700.08, 67
2026-07-16T13:03:48Z,100, 55, 116633, 143771, 694.65, 67
2026-07-16T13:03:50Z,100, 47, 116633, 143771, 687.48, 65
2026-07-16T13:03:52Z,100, 56, 116633, 143771, 685.84, 69
2026-07-16T13:03:54Z,100, 53, 116633, 143771, 693.47, 68
2026-07-16T13:03:56Z,100, 54, 116633, 143771, 692.89, 67
2026-07-16T13:03:58Z,100, 54, 116633, 143771, 693.02, 67
2026-07-16T13:04:00Z,100, 55, 116633, 143771, 693.33, 68
2026-07-16T13:04:02Z,100, 54, 116633, 143771, 686.54, 67
2026-07-16T13:04:04Z,100, 51, 116633, 143771, 696.50, 67
2026-07-16T13:04:06Z,100, 56, 116633, 143771, 692.04, 67
2026-07-16T13:04:08Z,100, 53, 116633, 143771, 677.60, 69
2026-07-16T13:04:10Z,100, 54, 116633, 143771, 686.68, 69
2026-07-16T13:04:12Z,100, 53, 116633, 143771, 687.49, 66
2026-07-16T13:04:14Z,100, 50, 116633, 143771, 687.91, 67
2026-07-16T13:04:16Z,100, 55, 116633, 143771, 696.13, 67
2026-07-16T13:04:18Z,100, 53, 116633, 143771, 697.92, 67
2026-07-16T13:04:20Z,100, 54, 116633, 143771, 682.59, 65
2026-07-16T13:04:22Z,54, 30, 116633, 143771, 664.16, 65
2026-07-16T13:04:24Z,100, 54, 116633, 143771, 700.04, 67
2026-07-16T13:04:26Z,100, 54, 116633, 143771, 691.96, 65
2026-07-16T13:04:28Z,100, 52, 116633, 143771, 693.28, 67
2026-07-16T13:04:30Z,100, 54, 116633, 143771, 694.01, 68
2026-07-16T13:04:33Z,100, 53, 116633, 143771, 683.99, 67
2026-07-16T13:04:35Z,100, 55, 116633, 143771, 697.03, 67
2026-07-16T13:04:37Z,100, 55, 116633, 143771, 704.85, 66
